from	to	year	trade
Pakistan	United Arab Emirates	2008	0
Pakistan	Viet Nam	2008	0
Saudi Arabia	Bangladesh	2008	0
Saudi Arabia	China	2008	0
Saudi Arabia	Hong Kong	2008	0
Saudi Arabia	India	2008	0
Saudi Arabia	Iran	2008	0
Saudi Arabia	Israel	2008	0
Saudi Arabia	Japan	2008	0
Saudi Arabia	Pakistan	2008	0
Saudi Arabia	South Korea	2008	0
Saudi Arabia	United Arab Emirates	2008	0
Saudi Arabia	Viet Nam	2008	0
South Korea	Bangladesh	2008	0
South Korea	China	2008	0
South Korea	Hong Kong	2008	0
South Korea	India	2008	0
South Korea	Iran	2008	0
South Korea	Israel	2008	0
South Korea	Japan	2008	0
South Korea	Pakistan	2008	0
South Korea	Saudi Arabia	2008	0
South Korea	United Arab Emirates	2008	0
South Korea	Viet Nam	2008	0
United Arab Emirates	Bangladesh	2008	0
United Arab Emirates	China	2008	0
United Arab Emirates	Hong Kong	2008	0
United Arab Emirates	India	2008	0
United Arab Emirates	Iran	2008	0
United Arab Emirates	Israel	2008	0
United Arab Emirates	Japan	2008	0
United Arab Emirates	Pakistan	2008	0
United Arab Emirates	Saudi Arabia	2008	0
United Arab Emirates	South Korea	2008	0
United Arab Emirates	Viet Nam	2008	0
Viet Nam	Bangladesh	2008	0
Viet Nam	China	2008	0
Viet Nam	Hong Kong	2008	0
Viet Nam	India	2008	0
Viet Nam	Iran	2008	0
Viet Nam	Israel	2008	0
Viet Nam	Japan	2008	0
Viet Nam	Pakistan	2008	0
Viet Nam	Saudi Arabia	2008	0
Viet Nam	South Korea	2008	0
Viet Nam	United Arab Emirates	2008	0
Bangladesh	China	2007	0
Bangladesh	Hong Kong	2007	0
Bangladesh	India	2007	0
Bangladesh	Iran	2007	0
Bangladesh	Israel	2007	0
Bangladesh	Japan	2007	0
Bangladesh	Pakistan	2007	0
Bangladesh	Saudi Arabia	2007	0
Bangladesh	South Korea	2007	0
Bangladesh	United Arab Emirates	2007	0
Bangladesh	Viet Nam	2007	0
China	Bangladesh	2007	0
China	Hong Kong	2007	13163
China	India	2007	0
China	Iran	2007	0
China	Israel	2007	0
China	Japan	2007	0
China	Pakistan	2007	0
China	Saudi Arabia	2007	0
China	South Korea	2007	0
China	United Arab Emirates	2007	0
China	Viet Nam	2007	0
Hong Kong	Bangladesh	2007	0
Hong Kong	China	2007	0
Hong Kong	India	2007	0
Hong Kong	Iran	2007	0
Hong Kong	Israel	2007	0
Hong Kong	Japan	2007	0
Hong Kong	Pakistan	2007	0
Hong Kong	Saudi Arabia	2007	0
Hong Kong	South Korea	2007	0
Hong Kong	United Arab Emirates	2007	0
Hong Kong	Viet Nam	2007	0
India	Bangladesh	2007	48
India	China	2007	0
India	Hong Kong	2007	0
India	Iran	2007	0
India	Israel	2007	0
India	Japan	2007	0
India	Pakistan	2007	0
India	Saudi Arabia	2007	0
India	South Korea	2007	0
India	United Arab Emirates	2007	0
India	Viet Nam	2007	0
Iran	Bangladesh	2007	0
Iran	China	2007	0
Iran	Hong Kong	2007	0
Iran	India	2007	0
Iran	Israel	2007	0
Iran	Japan	2007	0
Iran	Pakistan	2007	0
Iran	Saudi Arabia	2007	0
Iran	South Korea	2007	0
Iran	United Arab Emirates	2007	0
Iran	Viet Nam	2007	0
Israel	Bangladesh	2007	0
Israel	China	2007	0
Israel	Hong Kong	2007	0
Israel	India	2007	0
Israel	Iran	2007	0
Israel	Japan	2007	0
Israel	Pakistan	2007	0
Israel	Saudi Arabia	2007	0
Israel	South Korea	2007	0
Israel	United Arab Emirates	2007	0
Israel	Viet Nam	2007	0
Japan	Bangladesh	2007	0
Japan	China	2007	0
Japan	Hong Kong	2007	0
Japan	India	2007	0
Japan	Iran	2007	0
Japan	Israel	2007	0
Japan	Pakistan	2007	0
Japan	Saudi Arabia	2007	0
Japan	South Korea	2007	0
Japan	United Arab Emirates	2007	0
Japan	Viet Nam	2007	0
Pakistan	Bangladesh	2007	0
Pakistan	China	2007	0
Pakistan	Hong Kong	2007	0
Pakistan	India	2007	0
Pakistan	Iran	2007	0
Pakistan	Israel	2007	0
Pakistan	Japan	2007	0
Pakistan	Saudi Arabia	2007	0
Pakistan	South Korea	2007	0
Pakistan	United Arab Emirates	2007	0
Pakistan	Viet Nam	2007	0
Saudi Arabia	Bangladesh	2007	0
Saudi Arabia	China	2007	4
Saudi Arabia	Hong Kong	2007	0
Saudi Arabia	India	2007	0
Saudi Arabia	Iran	2007	25
Saudi Arabia	Israel	2007	0
Saudi Arabia	Japan	2007	0
Saudi Arabia	Pakistan	2007	0
Saudi Arabia	South Korea	2007	0
Saudi Arabia	United Arab Emirates	2007	12
Saudi Arabia	Viet Nam	2007	0
South Korea	Bangladesh	2007	0
South Korea	China	2007	0
South Korea	Hong Kong	2007	0
South Korea	India	2007	0
South Korea	Iran	2007	0
South Korea	Israel	2007	0
South Korea	Japan	2007	0
South Korea	Pakistan	2007	0
South Korea	Saudi Arabia	2007	0
South Korea	United Arab Emirates	2007	0
South Korea	Viet Nam	2007	0
United Arab Emirates	Bangladesh	2007	0
United Arab Emirates	China	2007	0
United Arab Emirates	Hong Kong	2007	0
United Arab Emirates	India	2007	0
United Arab Emirates	Iran	2007	360
United Arab Emirates	Israel	2007	0
United Arab Emirates	Japan	2007	0
United Arab Emirates	Pakistan	2007	0
United Arab Emirates	Saudi Arabia	2007	0
United Arab Emirates	South Korea	2007	0
United Arab Emirates	Viet Nam	2007	0
Viet Nam	Bangladesh	2007	0
Viet Nam	China	2007	0
Viet Nam	Hong Kong	2007	0
Viet Nam	India	2007	0
Viet Nam	Iran	2007	0
Viet Nam	Israel	2007	0
Viet Nam	Japan	2007	0
Viet Nam	Pakistan	2007	0
Viet Nam	Saudi Arabia	2007	0
Viet Nam	South Korea	2007	0
Viet Nam	United Arab Emirates	2007	0
Bangladesh	China	2006	0
Bangladesh	Hong Kong	2006	0
Bangladesh	India	2006	0
Bangladesh	Iran	2006	0
Bangladesh	Israel	2006	0
Bangladesh	Japan	2006	0
Bangladesh	Pakistan	2006	0
Bangladesh	Saudi Arabia	2006	0
Bangladesh	South Korea	2006	0
Bangladesh	United Arab Emirates	2006	0
Bangladesh	Viet Nam	2006	0
China	Bangladesh	2006	0
China	Hong Kong	2006	16217
China	India	2006	0
China	Iran	2006	0
China	Israel	2006	0
China	Japan	2006	0
China	Pakistan	2006	0
China	Saudi Arabia	2006	0
China	South Korea	2006	0
China	United Arab Emirates	2006	0
China	Viet Nam	2006	0
Hong Kong	Bangladesh	2006	0
Hong Kong	China	2006	0
Hong Kong	India	2006	0
Hong Kong	Iran	2006	0
Hong Kong	Israel	2006	0
Hong Kong	Japan	2006	0
Hong Kong	Pakistan	2006	0
Hong Kong	Saudi Arabia	2006	0
Hong Kong	South Korea	2006	0
Hong Kong	United Arab Emirates	2006	0
Hong Kong	Viet Nam	2006	0
India	Bangladesh	2006	35
India	China	2006	0
India	Hong Kong	2006	0
India	Iran	2006	0
India	Israel	2006	0
India	Japan	2006	0
India	Pakistan	2006	1
India	Saudi Arabia	2006	0
India	South Korea	2006	0
India	United Arab Emirates	2006	0
India	Viet Nam	2006	0
Iran	Bangladesh	2006	0
Iran	China	2006	0
Iran	Hong Kong	2006	0
Iran	India	2006	0
Iran	Israel	2006	0
Iran	Japan	2006	0
Iran	Pakistan	2006	0
Iran	Saudi Arabia	2006	0
Iran	South Korea	2006	0
Iran	United Arab Emirates	2006	0
Iran	Viet Nam	2006	0
Israel	Bangladesh	2006	0
Israel	China	2006	0
Israel	Hong Kong	2006	0
Israel	India	2006	0
Israel	Iran	2006	0
Israel	Japan	2006	0
Israel	Pakistan	2006	0
Israel	Saudi Arabia	2006	0
Israel	South Korea	2006	0
Israel	United Arab Emirates	2006	0
Israel	Viet Nam	2006	0
Japan	Bangladesh	2006	0
Japan	China	2006	0
Japan	Hong Kong	2006	0
Japan	India	2006	0
Japan	Iran	2006	0
Japan	Israel	2006	0
Japan	Pakistan	2006	0
Japan	Saudi Arabia	2006	0
Japan	South Korea	2006	0
Japan	United Arab Emirates	2006	0
Japan	Viet Nam	2006	0
Pakistan	Bangladesh	2006	0
Pakistan	China	2006	0
Pakistan	Hong Kong	2006	0
Pakistan	India	2006	0
Pakistan	Iran	2006	0
Pakistan	Israel	2006	0
Pakistan	Japan	2006	0
Pakistan	Saudi Arabia	2006	0
Pakistan	South Korea	2006	0
Pakistan	United Arab Emirates	2006	10
Pakistan	Viet Nam	2006	0
Saudi Arabia	Bangladesh	2006	0
Saudi Arabia	China	2006	0
Saudi Arabia	Hong Kong	2006	0
Saudi Arabia	India	2006	0
Saudi Arabia	Iran	2006	0
Saudi Arabia	Israel	2006	0
Saudi Arabia	Japan	2006	0
Saudi Arabia	Pakistan	2006	0
Saudi Arabia	South Korea	2006	0
Saudi Arabia	United Arab Emirates	2006	593
Saudi Arabia	Viet Nam	2006	0
South Korea	Bangladesh	2006	0
South Korea	China	2006	0
South Korea	Hong Kong	2006	0
South Korea	India	2006	0
South Korea	Iran	2006	0
South Korea	Israel	2006	0
South Korea	Japan	2006	0
South Korea	Pakistan	2006	0
South Korea	Saudi Arabia	2006	0
South Korea	United Arab Emirates	2006	0
South Korea	Viet Nam	2006	0
United Arab Emirates	Bangladesh	2006	0
United Arab Emirates	China	2006	0
United Arab Emirates	Hong Kong	2006	0
United Arab Emirates	India	2006	0
United Arab Emirates	Iran	2006	0
United Arab Emirates	Israel	2006	0
United Arab Emirates	Japan	2006	0
United Arab Emirates	Pakistan	2006	0
United Arab Emirates	Saudi Arabia	2006	0
United Arab Emirates	South Korea	2006	0
United Arab Emirates	Viet Nam	2006	0
Viet Nam	Bangladesh	2006	0
Viet Nam	China	2006	0
Viet Nam	Hong Kong	2006	0
Viet Nam	India	2006	0
Viet Nam	Iran	2006	0
Viet Nam	Israel	2006	0
Viet Nam	Japan	2006	0
Viet Nam	Pakistan	2006	0
Viet Nam	Saudi Arabia	2006	0
Viet Nam	South Korea	2006	0
Viet Nam	United Arab Emirates	2006	0
Bangladesh	China	2005	0
Bangladesh	Hong Kong	2005	0
Bangladesh	India	2005	0
Bangladesh	Iran	2005	0
Bangladesh	Israel	2005	0
Bangladesh	Japan	2005	0
Bangladesh	Pakistan	2005	0
Bangladesh	Saudi Arabia	2005	0
Bangladesh	South Korea	2005	0
Bangladesh	United Arab Emirates	2005	0
Bangladesh	Viet Nam	2005	0
China	Bangladesh	2005	0
China	Hong Kong	2005	21938
China	India	2005	0
China	Iran	2005	0
China	Israel	2005	0
China	Japan	2005	0
China	Pakistan	2005	0
China	Saudi Arabia	2005	0
China	South Korea	2005	0
China	United Arab Emirates	2005	0
China	Viet Nam	2005	0
Hong Kong	Bangladesh	2005	0
Hong Kong	China	2005	0
Hong Kong	India	2005	0
Hong Kong	Iran	2005	0
Hong Kong	Israel	2005	0
Hong Kong	Japan	2005	0
Hong Kong	Pakistan	2005	0
Hong Kong	Saudi Arabia	2005	0
Hong Kong	South Korea	2005	0
Hong Kong	United Arab Emirates	2005	0
Hong Kong	Viet Nam	2005	0
India	Bangladesh	2005	0
India	China	2005	0
India	Hong Kong	2005	0
India	Iran	2005	0
India	Israel	2005	0
India	Japan	2005	0
India	Pakistan	2005	0
India	Saudi Arabia	2005	5
India	South Korea	2005	0
India	United Arab Emirates	2005	0
India	Viet Nam	2005	0
Iran	Bangladesh	2005	0
Iran	China	2005	0
Iran	Hong Kong	2005	0
Iran	India	2005	0
Iran	Israel	2005	0
Iran	Japan	2005	0
Iran	Pakistan	2005	0
Iran	Saudi Arabia	2005	0
Iran	South Korea	2005	0
Iran	United Arab Emirates	2005	45
Iran	Viet Nam	2005	0
Israel	Bangladesh	2005	0
Israel	China	2005	0
Israel	Hong Kong	2005	0
Israel	India	2005	0
Israel	Iran	2005	0
Israel	Japan	2005	0
Israel	Pakistan	2005	0
Israel	Saudi Arabia	2005	0
Israel	South Korea	2005	0
Israel	United Arab Emirates	2005	0
Israel	Viet Nam	2005	0
Japan	Bangladesh	2005	0
Japan	China	2005	0
Japan	Hong Kong	2005	0
Japan	India	2005	0
Japan	Iran	2005	0
Japan	Israel	2005	0
Japan	Pakistan	2005	0
Japan	Saudi Arabia	2005	0
Japan	South Korea	2005	0
Japan	United Arab Emirates	2005	0
Japan	Viet Nam	2005	0
Pakistan	Bangladesh	2005	0
Pakistan	China	2005	0
Pakistan	Hong Kong	2005	0
Pakistan	India	2005	0
Pakistan	Iran	2005	0
Pakistan	Israel	2005	0
Pakistan	Japan	2005	0
Pakistan	Saudi Arabia	2005	0
Pakistan	South Korea	2005	0
Pakistan	United Arab Emirates	2005	18
Pakistan	Viet Nam	2005	0
Saudi Arabia	Bangladesh	2005	0
Saudi Arabia	China	2005	0
Saudi Arabia	Hong Kong	2005	0
Saudi Arabia	India	2005	0
Saudi Arabia	Iran	2005	0
Saudi Arabia	Israel	2005	0
Saudi Arabia	Japan	2005	0
Saudi Arabia	Pakistan	2005	0
Saudi Arabia	South Korea	2005	0
Saudi Arabia	United Arab Emirates	2005	0
Saudi Arabia	Viet Nam	2005	0
South Korea	Bangladesh	2005	0
South Korea	China	2005	0
South Korea	Hong Kong	2005	0
South Korea	India	2005	0
South Korea	Iran	2005	0
South Korea	Israel	2005	0
South Korea	Japan	2005	0
South Korea	Pakistan	2005	0
South Korea	Saudi Arabia	2005	0
South Korea	United Arab Emirates	2005	0
South Korea	Viet Nam	2005	0
United Arab Emirates	Bangladesh	2005	8
United Arab Emirates	China	2005	0
United Arab Emirates	Hong Kong	2005	0
United Arab Emirates	India	2005	0
United Arab Emirates	Iran	2005	0
United Arab Emirates	Israel	2005	0
United Arab Emirates	Japan	2005	0
United Arab Emirates	Pakistan	2005	0
United Arab Emirates	Saudi Arabia	2005	316
United Arab Emirates	South Korea	2005	0
United Arab Emirates	Viet Nam	2005	0
Viet Nam	Bangladesh	2005	0
Viet Nam	China	2005	0
Viet Nam	Hong Kong	2005	0
Viet Nam	India	2005	0
Viet Nam	Iran	2005	0
Viet Nam	Israel	2005	0
Viet Nam	Japan	2005	0
Viet Nam	Pakistan	2005	0
Viet Nam	Saudi Arabia	2005	0
Viet Nam	South Korea	2005	0
Viet Nam	United Arab Emirates	2005	0
Bangladesh	China	2004	0
Bangladesh	Hong Kong	2004	0
Bangladesh	India	2004	0
Bangladesh	Iran	2004	0
Bangladesh	Israel	2004	0
Bangladesh	Japan	2004	0
Bangladesh	Pakistan	2004	0
Bangladesh	Saudi Arabia	2004	0
Bangladesh	South Korea	2004	0
Bangladesh	United Arab Emirates	2004	0
Bangladesh	Viet Nam	2004	0
China	Bangladesh	2004	0
China	Hong Kong	2004	16698
China	India	2004	0
China	Iran	2004	0
China	Israel	2004	0
China	Japan	2004	0
China	Pakistan	2004	0
China	Saudi Arabia	2004	0
China	South Korea	2004	0
China	United Arab Emirates	2004	0
China	Viet Nam	2004	0
Hong Kong	Bangladesh	2004	0
Hong Kong	China	2004	2
Hong Kong	India	2004	0
Hong Kong	Iran	2004	0
Hong Kong	Israel	2004	0
Hong Kong	Japan	2004	0
Hong Kong	Pakistan	2004	0
Hong Kong	Saudi Arabia	2004	0
Hong Kong	South Korea	2004	0
Hong Kong	United Arab Emirates	2004	0
Hong Kong	Viet Nam	2004	0
India	Bangladesh	2004	0
India	China	2004	0
India	Hong Kong	2004	0
India	Iran	2004	0
India	Israel	2004	0
India	Japan	2004	0
India	Pakistan	2004	0
India	Saudi Arabia	2004	126
India	South Korea	2004	0
India	United Arab Emirates	2004	114
India	Viet Nam	2004	0
Iran	Bangladesh	2004	0
Iran	China	2004	0
Iran	Hong Kong	2004	0
Iran	India	2004	0
Iran	Israel	2004	0
Iran	Japan	2004	0
Iran	Pakistan	2004	0
Iran	Saudi Arabia	2004	0
Iran	South Korea	2004	0
Iran	United Arab Emirates	2004	22
Iran	Viet Nam	2004	0
Israel	Bangladesh	2004	0
Israel	China	2004	0
Israel	Hong Kong	2004	0
Israel	India	2004	0
Israel	Iran	2004	0
Israel	Japan	2004	0
Israel	Pakistan	2004	0
Israel	Saudi Arabia	2004	0
Israel	South Korea	2004	0
Israel	United Arab Emirates	2004	0
Israel	Viet Nam	2004	0
Japan	Bangladesh	2004	0
Japan	China	2004	0
Japan	Hong Kong	2004	0
Japan	India	2004	0
Japan	Iran	2004	0
Japan	Israel	2004	0
Japan	Pakistan	2004	0
Japan	Saudi Arabia	2004	0
Japan	South Korea	2004	0
Japan	United Arab Emirates	2004	0
Japan	Viet Nam	2004	0
Pakistan	Bangladesh	2004	0
Pakistan	China	2004	0
Pakistan	Hong Kong	2004	0
Pakistan	India	2004	0
Pakistan	Iran	2004	0
Pakistan	Israel	2004	0
Pakistan	Japan	2004	0
Pakistan	Saudi Arabia	2004	7
Pakistan	South Korea	2004	0
Pakistan	United Arab Emirates	2004	255
Pakistan	Viet Nam	2004	0
Saudi Arabia	Bangladesh	2004	0
Saudi Arabia	China	2004	0
Saudi Arabia	Hong Kong	2004	0
Saudi Arabia	India	2004	0
Saudi Arabia	Iran	2004	0
Saudi Arabia	Israel	2004	0
Saudi Arabia	Japan	2004	0
Saudi Arabia	Pakistan	2004	0
Saudi Arabia	South Korea	2004	0
Saudi Arabia	United Arab Emirates	2004	0
Saudi Arabia	Viet Nam	2004	0
South Korea	Bangladesh	2004	0
South Korea	China	2004	0
South Korea	Hong Kong	2004	0
South Korea	India	2004	0
South Korea	Iran	2004	0
South Korea	Israel	2004	0
South Korea	Japan	2004	0
South Korea	Pakistan	2004	0
South Korea	Saudi Arabia	2004	0
South Korea	United Arab Emirates	2004	0
South Korea	Viet Nam	2004	0
United Arab Emirates	Bangladesh	2004	0
United Arab Emirates	China	2004	0
United Arab Emirates	Hong Kong	2004	0
United Arab Emirates	India	2004	0
United Arab Emirates	Iran	2004	0
United Arab Emirates	Israel	2004	0
United Arab Emirates	Japan	2004	0
United Arab Emirates	Pakistan	2004	0
United Arab Emirates	Saudi Arabia	2004	0
United Arab Emirates	South Korea	2004	0
United Arab Emirates	Viet Nam	2004	0
Viet Nam	Bangladesh	2004	0
Viet Nam	China	2004	0
Viet Nam	Hong Kong	2004	0
Viet Nam	India	2004	0
Viet Nam	Iran	2004	0
Viet Nam	Israel	2004	0
Viet Nam	Japan	2004	0
Viet Nam	Pakistan	2004	0
Viet Nam	Saudi Arabia	2004	0
Viet Nam	South Korea	2004	0
Viet Nam	United Arab Emirates	2004	0
Bangladesh	China	2003	0
Bangladesh	Hong Kong	2003	0
Bangladesh	India	2003	0
Bangladesh	Iran	2003	0
Bangladesh	Israel	2003	0
Bangladesh	Japan	2003	0
Bangladesh	Pakistan	2003	0
Bangladesh	Saudi Arabia	2003	0
Bangladesh	South Korea	2003	0
Bangladesh	United Arab Emirates	2003	0
Bangladesh	Viet Nam	2003	0
China	Bangladesh	2003	0
China	Hong Kong	2003	35750
China	India	2003	0
China	Iran	2003	0
China	Israel	2003	0
China	Japan	2003	0
China	Pakistan	2003	0
China	Saudi Arabia	2003	0
China	South Korea	2003	0
China	United Arab Emirates	2003	0
China	Viet Nam	2003	0
Hong Kong	Bangladesh	2003	0
Hong Kong	China	2003	14
Hong Kong	India	2003	0
Hong Kong	Iran	2003	0
Hong Kong	Israel	2003	0
Hong Kong	Japan	2003	0
Hong Kong	Pakistan	2003	0
Hong Kong	Saudi Arabia	2003	0
Hong Kong	South Korea	2003	0
Hong Kong	United Arab Emirates	2003	0
Hong Kong	Viet Nam	2003	0
India	Bangladesh	2003	1940
India	China	2003	0
India	Hong Kong	2003	0
India	Iran	2003	0
India	Israel	2003	0
India	Japan	2003	50
India	Pakistan	2003	0
India	Saudi Arabia	2003	0
India	South Korea	2003	0
India	United Arab Emirates	2003	145
India	Viet Nam	2003	0
Iran	Bangladesh	2003	0
Iran	China	2003	0
Iran	Hong Kong	2003	0
Iran	India	2003	0
Iran	Israel	2003	0
Iran	Japan	2003	0
Iran	Pakistan	2003	0
Iran	Saudi Arabia	2003	0
Iran	South Korea	2003	0
Iran	United Arab Emirates	2003	29
Iran	Viet Nam	2003	0
Israel	Bangladesh	2003	0
Israel	China	2003	0
Israel	Hong Kong	2003	0
Israel	India	2003	0
Israel	Iran	2003	0
Israel	Japan	2003	0
Israel	Pakistan	2003	0
Israel	Saudi Arabia	2003	0
Israel	South Korea	2003	0
Israel	United Arab Emirates	2003	0
Israel	Viet Nam	2003	0
Japan	Bangladesh	2003	0
Japan	China	2003	0
Japan	Hong Kong	2003	0
Japan	India	2003	0
Japan	Iran	2003	0
Japan	Israel	2003	0
Japan	Pakistan	2003	0
Japan	Saudi Arabia	2003	0
Japan	South Korea	2003	0
Japan	United Arab Emirates	2003	0
Japan	Viet Nam	2003	0
Pakistan	Bangladesh	2003	0
Pakistan	China	2003	0
Pakistan	Hong Kong	2003	0
Pakistan	India	2003	0
Pakistan	Iran	2003	0
Pakistan	Israel	2003	0
Pakistan	Japan	2003	3
Pakistan	Saudi Arabia	2003	71
Pakistan	South Korea	2003	0
Pakistan	United Arab Emirates	2003	831
Pakistan	Viet Nam	2003	0
Saudi Arabia	Bangladesh	2003	0
Saudi Arabia	China	2003	0
Saudi Arabia	Hong Kong	2003	0
Saudi Arabia	India	2003	0
Saudi Arabia	Iran	2003	0
Saudi Arabia	Israel	2003	0
Saudi Arabia	Japan	2003	0
Saudi Arabia	Pakistan	2003	0
Saudi Arabia	South Korea	2003	0
Saudi Arabia	United Arab Emirates	2003	0
Saudi Arabia	Viet Nam	2003	0
South Korea	Bangladesh	2003	0
South Korea	China	2003	0
South Korea	Hong Kong	2003	0
South Korea	India	2003	0
South Korea	Iran	2003	0
South Korea	Israel	2003	0
South Korea	Japan	2003	0
South Korea	Pakistan	2003	0
South Korea	Saudi Arabia	2003	0
South Korea	United Arab Emirates	2003	0
South Korea	Viet Nam	2003	23
United Arab Emirates	Bangladesh	2003	43
United Arab Emirates	China	2003	0
United Arab Emirates	Hong Kong	2003	0
United Arab Emirates	India	2003	1
United Arab Emirates	Iran	2003	261
United Arab Emirates	Israel	2003	0
United Arab Emirates	Japan	2003	0
United Arab Emirates	Pakistan	2003	0
United Arab Emirates	Saudi Arabia	2003	83
United Arab Emirates	South Korea	2003	0
United Arab Emirates	Viet Nam	2003	0
Viet Nam	Bangladesh	2003	0
Viet Nam	China	2003	0
Viet Nam	Hong Kong	2003	0
Viet Nam	India	2003	0
Viet Nam	Iran	2003	0
Viet Nam	Israel	2003	0
Viet Nam	Japan	2003	0
Viet Nam	Pakistan	2003	0
Viet Nam	Saudi Arabia	2003	0
Viet Nam	South Korea	2003	0
Viet Nam	United Arab Emirates	2003	0
Bangladesh	China	2002	0
Bangladesh	Hong Kong	2002	0
Bangladesh	India	2002	0
Bangladesh	Iran	2002	0
Bangladesh	Israel	2002	0
Bangladesh	Japan	2002	0
Bangladesh	Pakistan	2002	0
Bangladesh	Saudi Arabia	2002	0
Bangladesh	South Korea	2002	0
Bangladesh	United Arab Emirates	2002	0
Bangladesh	Viet Nam	2002	0
China	Bangladesh	2002	0
China	Hong Kong	2002	39392
China	India	2002	0
China	Iran	2002	0
China	Israel	2002	0
China	Japan	2002	0
China	Pakistan	2002	0
China	Saudi Arabia	2002	0
China	South Korea	2002	0
China	United Arab Emirates	2002	0
China	Viet Nam	2002	0
Hong Kong	Bangladesh	2002	0
Hong Kong	China	2002	1
Hong Kong	India	2002	0
Hong Kong	Iran	2002	0
Hong Kong	Israel	2002	0
Hong Kong	Japan	2002	0
