location	year	rainfall_total
Bangladesh	2013	2114.76862
China	2013	599.63316
Hong Kong	2013	2847.3
India	2013	1160.1732
Iran	2013	192.70109
Israel	2013	283.97332
Japan	2013	1660.34
Pakistan	2013	355.45941
Saudi Arabia	2013	68.87872
South Korea	2013	1247.3374
United Arab Emirates	2013	54.66688
Viet Nam	2013	2088.1969
Bangladesh	2012	2097.63624
China	2012	609.7502000000001
Hong Kong	2012	1924.7
India	2012	1019.39553
Iran	2012	222.56371000000001
Israel	2012	288.9114
Japan	2012	1716.0369
Pakistan	2012	274.332
Saudi Arabia	2012	70.10718
South Korea	2012	1620.075
United Arab Emirates	2012	35.76095
Viet Nam	2012	2171.8003
Bangladesh	2011	2442.91075
China	2011	517.93326
Hong Kong	2011	1487.2
India	2011	1115.07863
Iran	2011	209.69632
Israel	2011	226.01496
Japan	2011	1745.8783
Pakistan	2011	325.08564
Saudi Arabia	2011	62.62066
South Korea	2011	1479.4664
United Arab Emirates	2011	25.865099999999998
Viet Nam	2011	2035.0812
Bangladesh	2010	2110.41053
China	2010	613.7735
Hong Kong	2010	2371.7
India	2010	1146.47283
Iran	2010	145.99839
Israel	2010	204.4648
Japan	2010	1759.3229
Pakistan	2010	382.09926
Saudi Arabia	2010	61.54704
South Korea	2010	1570.6162
United Arab Emirates	2010	38.04009
Viet Nam	2010	1624.0319
Bangladesh	2009	1968.4159399999999
China	2009	526.87428
Hong Kong	2009	2182.35
India	2009	922.63006
Iran	2009	234.72991
Israel	2009	210.61751
Japan	2009	1646.9104
Pakistan	2009	277.09754
Saudi Arabia	2009	54.0582
South Korea	2009	1320.7275
United Arab Emirates	2009	81.57728
Viet Nam	2009	1731.517
Bangladesh	2008	1876.74072
China	2008	592.29824
Hong Kong	2008	3066.2
India	2008	1042.52272
Iran	2008	132.5659
Israel	2008	168.43451000000002
Japan	2008	1516.6122
Pakistan	2008	336.99752
Saudi Arabia	2008	53.290350000000004
South Korea	2008	1181.3635
United Arab Emirates	2008	21.98466
Viet Nam	2008	2013.6465
Bangladesh	2007	2900.43979
China	2007	555.38808
Hong Kong	2007	1706.9
India	2007	1068.6402699999999
Iran	2007	199.15137000000001
Israel	2007	205.60245
Japan	2007	1464.4068
Pakistan	2007	321.85621000000003
Saudi Arabia	2007	76.49575
South Korea	2007	1423.4576
United Arab Emirates	2007	74.89655
Viet Nam	2007	1920.3901
Bangladesh	2006	1944.91908
China	2006	547.92877
Hong Kong	2006	2627.8
India	2006	1087.6188399999999
Iran	2006	224.25281999999999
Israel	2006	206.54628
Japan	2006	1804.8939
Pakistan	2006	354.28904
Saudi Arabia	2006	66.05366
South Korea	2006	1466.3917999999999
United Arab Emirates	2006	67.66545
Viet Nam	2006	1751.6761999999999
Bangladesh	2005	1787.52842
China	2005	570.89555
Hong Kong	2005	3214.5
India	2005	989.09608
Iran	2005	202.9756
Israel	2005	212.76226
Japan	2005	1378.5365
Pakistan	2005	327.15851
Saudi Arabia	2005	64.96418
South Korea	2005	1325.9704000000002
United Arab Emirates	2005	46.452619999999996
Viet Nam	2005	2019.3135
Bangladesh	2004	2015.9936400000001
China	2004	544.7299
Hong Kong	2004	1738.6499999999999
India	2004	937.58668
Iran	2004	256.11678
Israel	2004	225.23866
Japan	2004	1663.4746
Pakistan	2004	256.95633
Saudi Arabia	2004	65.25938000000001
South Korea	2004	1546.3223
United Arab Emirates	2004	54.69491
Viet Nam	2004	1618.5312000000001
Bangladesh	2003	1993.43882
China	2003	583.01824
Hong Kong	2003	1941.95
India	2003	985.66473
Iran	2003	218.91135
Israel	2003	321.41753
Japan	2003	1695.7474
Pakistan	2003	380.95412
Saudi Arabia	2003	59.32809
South Korea	2003	2111.1449
United Arab Emirates	2003	39.97709
Viet Nam	2003	1601.2476000000001
Bangladesh	2002	2318.04591
China	2002	609.63
Hong Kong	2002	2490
India	2002	835.90501
Iran	2002	198.71967
Israel	2002	276.16339
Japan	2002	1551.2082
Pakistan	2002	204.95248
Saudi Arabia	2002	77.45927999999999
South Korea	2002	1376.6113599999999
United Arab Emirates	2002	31.19971
Viet Nam	2002	2112.3407
Bangladesh	2001	1878.08805
China	2001	547.8079
Hong Kong	2001	3091.7999999999997
India	2001	912.94638
Iran	2001	156.55165
Israel	2001	228.54388
Japan	2001	1546.1414
Pakistan	2001	233.60638
Saudi Arabia	2001	62.62148
South Korea	2001	1188.7673
United Arab Emirates	2001	13.02998
Viet Nam	2001	2088.1073
Bangladesh	2000	2433.56399
China	2000	583.949
Hong Kong	2000	2752.3
India	2000	955.25729
Iran	2000	183.08598
Israel	2000	260.25762000000003
Japan	2000	1532.7548
Pakistan	2000	192.21722
Saudi Arabia	2000	61.65263
South Korea	2000	1312.93658
United Arab Emirates	2000	39.97623
Viet Nam	2000	1828.9741
Bangladesh	1999	2579.82753
China	1999	574.68655
Hong Kong	1999	2129.15
India	1999	983.98913
Iran	1999	194.30145
Israel	1999	127.53737
Japan	1999	1727.0197
Pakistan	1999	252.23731
Saudi Arabia	1999	65.50498
South Korea	1999	1738.61489
United Arab Emirates	1999	51.874109999999995
Viet Nam	1999	2243.1394999999998
Bangladesh	1998	2785.52462
China	1998	643.23128
Hong Kong	1998	2564.6
India	1998	1113.68369
Iran	1998	215.65069
Israel	1998	190.9906
Japan	1998	1903.1782
Pakistan	1998	296.26787
Saudi Arabia	1998	80.4052
South Korea	1998	1763.56829
United Arab Emirates	1998	49.551120000000004
Viet Nam	1998	1772.3465
Bangladesh	1997	2315.91889
China	1997	561.7001
Hong Kong	1997	3343
India	1997	1028.43055
Iran	1997	233.19637
Israel	1997	294.61862
Japan	1997	1584.8978
Pakistan	1997	374.01189
Saudi Arabia	1997	82.1358
South Korea	1997	1339.8113
United Arab Emirates	1997	135.2858
Viet Nam	1997	1810.7486
Bangladesh	1996	2282.51289
China	1996	588.34772
Hong Kong	1996	2249.15
India	1996	1023.25487
Iran	1996	278.84403
Israel	1996	216.48549
Japan	1996	1352.9371
Pakistan	1996	337.47526
Saudi Arabia	1996	83.37406
South Korea	1996	1205.1623
United Arab Emirates	1996	85.45629000000001
Viet Nam	1996	1920.3358
Bangladesh	1995	2355.0813
China	1995	569.3455700000001
Hong Kong	1995	2754.4
India	1995	1065.81321
Iran	1995	224.02257
Israel	1995	159.4942
Japan	1995	1499.7981
Pakistan	1995	349.96972999999997
Saudi Arabia	1995	93.41785
South Korea	1995	1116.2498
United Arab Emirates	1995	91.75655
Viet Nam	1995	1832.8137
Bangladesh	1994	1869.16512
China	1994	586.6436
Hong Kong	1994	2725.65
India	1994	1149.30931
Iran	1994	223.3388
Israel	1994	384.79048
Japan	1994	1208.2513999999999
Pakistan	1994	427.20627
Saudi Arabia	1994	60.22974
South Korea	1994	941.9309000000001
United Arab Emirates	1994	30.324019999999997
Viet Nam	1994	2103.6185
Bangladesh	1993	2660.52343
China	1993	604.17774
Hong Kong	1993	2343.9
India	1993	988.99821
Iran	1993	255.58424
Israel	1993	208.88251
Japan	1993	1926.0329000000002
Pakistan	1993	238.74265
Saudi Arabia	1993	119.48186
South Korea	1993	1518.3476
United Arab Emirates	1993	84.9577
Viet Nam	1993	1620.0703
Bangladesh	1992	1869.93898
China	1992	553.5782
Hong Kong	1992	2678.7999999999997
India	1992	912.08529
Iran	1992	274.96981
Israel	1992	388.85858
Japan	1992	1506.0633
Pakistan	1992	381.62947
Saudi Arabia	1992	82.13359
South Korea	1992	1179.2062
United Arab Emirates	1992	95.20629
Viet Nam	1992	1661.9536
Bangladesh	1991	2692.0622
China	1991	568.9326
Hong Kong	1991	1639.1000000000001
India	1991	1006.4326
Iran	1991	263.54515
Israel	1991	397.8603
Japan	1991	1818.1583
Pakistan	1991	295.67923
Saudi Arabia	1991	70.57828
South Korea	1991	1398.7845
United Arab Emirates	1991	46.41298
Viet Nam	1991	1600.6554
Bangladesh	1990	2818.2021299999997
China	1990	624.6815
Hong Kong	1990	2046.9
India	1990	1226.57991
Iran	1990	162.28475
Israel	1990	206.32736
Japan	1990	1718.1883
Pakistan	1990	390.77166
Saudi Arabia	1990	52.16086
South Korea	1990	1657.2138
United Arab Emirates	1990	54.677009999999996
Viet Nam	1990	1934.259
Bangladesh	1989	2152.2139500000003
China	1989	566.5187
Hong Kong	1989	1944.6
India	1989	979.2346200000001
Iran	1989	189.02097
Israel	1989	203.04139
Japan	1989	1832.6179
Pakistan	1989	310.02675
Saudi Arabia	1989	91.25344
South Korea	1989	1513.8188
United Arab Emirates	1989	90.75948
Viet Nam	1989	1696.27917
Bangladesh	1988	2935.8574
China	1988	558.10431
Hong Kong	1988	1685
India	1988	1164.96337
Iran	1988	235.48251
Israel	1988	323.55146
Japan	1988	1598.9479
Pakistan	1988	315.58039
Saudi Arabia	1988	78.96281
South Korea	1988	975.5485
United Arab Emirates	1988	79.27385
Viet Nam	1988	1689.4166
Bangladesh	1987	2760.76489
China	1987	583.86717
Hong Kong	1987	2319.3
India	1987	910.3813
Iran	1987	217.66855999999999
Israel	1987	244.68136
Japan	1987	1501.5661
Pakistan	1987	237.06622000000002
Saudi Arabia	1987	74.02551
South Korea	1987	1575.40911
United Arab Emirates	1987	129.87395
Viet Nam	1987	1580.4129
Bangladesh	1986	2467.65193
China	1986	522.35877
Hong Kong	1986	2338.35
India	1986	957.7233
Iran	1986	285.88369
Israel	1986	312.88476000000003
Japan	1986	1416.1663
Pakistan	1986	347.21583
Saudi Arabia	1986	79.7281
South Korea	1986	1293.7451
United Arab Emirates	1986	74.70587
Viet Nam	1986	2110.13136
